,0
Age,0.1978289988295723
Sex,0.19710050509876015
Fare,0.15938930194254866
FarePerPerson,0.15416218255524194
FamilySize,0.0658259123118824
Pclass,0.05113037681469034
Cabin_Missing,0.031020050689050477
Embarked_S,0.016048176036377537
Embarked_C,0.012834994000116522
Embarked_Q,0.007748271231012235
Cabin_C22 C26,0.004483157530159293
Cabin_C52,0.002868143292611157
Cabin_E25,0.00250346610244221
Cabin_E24,0.002455927232551775
Cabin_E121,0.002389535900773775
Cabin_E10,0.002362991631616505
Cabin_E101,0.0023299716572513993
Cabin_C124,0.0022458731393073202
Cabin_D26,0.0021059803033587616
Cabin_C126,0.001691403413673033
Cabin_C49,0.001665027859989301
Cabin_D35,0.0016560304584069317
Cabin_G6,0.0016363366300147654
Cabin_D56,0.00157015108819191
Cabin_A6,0.0015088564943868225
Cabin_D33,0.0014641832658896102
Cabin_C106,0.001447225164482929
Cabin_C104,0.0014254685420602947
Cabin_D30,0.0013694226925440652
Cabin_A26,0.001327129905802123
Cabin_E17,0.0013033057456247295
Cabin_D45,0.0012993281824726214
Cabin_E12,0.0012681993297460926
Cabin_B71,0.0012534609527308739
Cabin_B49,0.0012010675537155778
Cabin_B82 B84,0.0011853082267737998
Cabin_C82,0.0011629324283158674
Cabin_B96 B98,0.0011542035168842291
Cabin_D19,0.0011349403040245073
Cabin_C93,0.0011314124133054984
Cabin_D6,0.001130989092317445
Cabin_C92,0.0011243310686241095
Cabin_C23 C25 C27,0.0011122493293771103
Cabin_A10,0.001108435781697404
Cabin_D,0.0011046597891009437
Cabin_C86,0.0010866921719061425
Cabin_A31,0.001068775501486683
Cabin_C47,0.0010441522217800934
Cabin_C46,0.0010201447227193461
Cabin_B58 B60,0.0010179524397064099
Cabin_C91,0.0010122032722091633
Cabin_F4,0.0009874873182525016
Cabin_A32,0.0009611601384897133
Cabin_E77,0.0009593230231350766
Cabin_B101,0.000955535017608404
Cabin_C118,0.0009510172278743014
Cabin_C128,0.0009455068054669678
Cabin_C148,0.0009292890853552141
Cabin_B30,0.0009204351596418394
Cabin_B50,0.000916435128366198
Cabin_D17,0.0009032719001247899
Cabin_A7,0.0008842107073058411
Cabin_C95,0.0008738803155790215
Cabin_E63,0.0008699048322110903
Cabin_D46,0.0008653274516911165
Cabin_B41,0.0008623284182911821
Cabin_E50,0.000861341615601206
Cabin_E67,0.0008569147748699776
Cabin_C65,0.0008409593588737475
Cabin_A14,0.000827899628118054
Cabin_C2,0.0008087062710442103
Cabin_B37,0.0008010186182102147
Cabin_C30,0.0007907796412752768
Cabin_E44,0.0007809609551030123
Cabin_F2,0.0007517439521509991
Cabin_A34,0.0007426377017321083
Cabin_D10 D12,0.0007367073703342891
Cabin_C87,0.0007330339594534431
Cabin_B5,0.0007244866064007106
Cabin_C68,0.0007120883314120163
Cabin_B77,0.0007074262677369528
Cabin_C125,0.0007067364113060009
Cabin_C83,0.0007027573038522514
Cabin_E33,0.0006925278960914015
Cabin_F G73,0.000670177392579089
Cabin_B18,0.0006471335762237283
Cabin_F33,0.0006285098793391237
Cabin_D36,0.0006201339385894954
Cabin_E38,0.0006023968113342331
Cabin_A5,0.0005959943179860027
Cabin_E46,0.0005924024460589416
Cabin_C78,0.0005780724163688815
Cabin_D50,0.0005549328425778157
Cabin_C103,0.0005330363749882405
Cabin_B57 B59 B63 B66,0.00048712365796549665
Cabin_C101,0.0003700473399201065
Cabin_B69,0.00036280332972704556
Cabin_B51 B53 B55,0.00035834484978405
Cabin_C123,0.0003535112463206319
Cabin_B102,0.000350724742745121
Cabin_F38,0.00034725964968421137
Cabin_D11,0.00032801164955577144
Cabin_A16,0.00030532593523015494
Cabin_B42,0.00029167891735025334
Cabin_D7,0.00028181621277145546
Cabin_B20,0.00028005248707041003
Cabin_A36,0.0002770524894325568
Cabin_E8,0.00025384006086841737
Cabin_E40,0.00025371607552968794
Cabin_C7,0.00025130406260393407
Cabin_D15,0.00024422366102141193
Cabin_D37,0.00024388743019820215
Cabin_B4,0.00024050445448758084
Cabin_C90,0.00023969375084292792
Cabin_B22,0.00023301979121048686
Cabin_B94,0.00022436410246469443
Cabin_C62 C64,0.00022209237169039495
Cabin_C54,0.00022090733323208394
Cabin_F G63,0.0002060830950587393
Embarked_Missing,0.00020165957517666753
Cabin_B80,0.0001988284259124305
Cabin_D9,0.00018607542426125084
Cabin_C45,0.00018075049517955906
Cabin_C50,0.0001788313292244549
Cabin_C85,0.00015693062881336415
Cabin_B35,0.00015497511386056343
Cabin_C32,0.00015050396296628022
Cabin_B39,0.00013947504281177386
Cabin_B28,0.00011815625673799935
Cabin_F E69,0.0
Cabin_B38,0.0
Cabin_C110,0.0
Cabin_D49,0.0
Cabin_B3,0.0
Cabin_C111,0.0
Cabin_A24,0.0
Cabin_C70,0.0
Cabin_A20,0.0
Cabin_T,0.0
Cabin_A19,0.0
Cabin_D47,0.0
Cabin_A23,0.0
Cabin_D28,0.0
Cabin_E68,0.0
Cabin_D21,0.0
Cabin_E58,0.0
Cabin_B86,0.0
Cabin_E49,0.0
Cabin_B79,0.0
Cabin_B78,0.0
Cabin_C99,0.0
Cabin_E36,0.0
Cabin_E34,0.0
Cabin_E31,0.0
Cabin_B73,0.0
Cabin_B19,0.0
Cabin_D20,0.0
Cabin_D48,0.0
